word,letter_count,syllable_count,phoneme_count,phonemes_arpabet,preschool_prep_level,dolch_level,fry_rank,fry_hundred,other_lists,source_count,suggested_order,syllable_split,syllable_split_status,digraphs,blends,vowel_patterns,decodable_guess
how,3,1,2,HH AW,Level 5,1st Grade,48,1st 100,,3,68,,,,,team:ow,yes
them,4,1,3,DH EH M,Level 5,1st Grade,58,1st 100,,3,69,,,th,,,yes
which,5,1,3,W IH CH,Level 5,2nd Grade,45,1st 100,,3,70,,,ch;wh,,,yes
their,5,1,3,DH EH R,Level 5,2nd Grade,49,1st 100,,3,71,,,th,,team:ei,no
many,4,2,4,M EH N IY,Level 5,2nd Grade,56,1st 100,,3,72,,pyphen_mismatch(many),,,,no
would,5,1,3,W UH D,Level 5,2nd Grade,63,1st 100,,3,73,,,,,team:ou,no
if,2,1,2,IH F,Level 5,3rd Grade,50,1st 100,,3,74,,,,,,yes
about,5,2,4,AH B AW T,Level 5,3rd Grade,54,1st 100,,3,75,,pyphen_mismatch(about),,,team:ou,yes
each,4,1,2,IY CH,Level 5,,44,1st 100,,2,76,,,ch,,team:ea,yes
other,5,2,3,AH DH ER,Level 5,,53,1st 100,,2,77,oth-er,ok,th,,r-controlled:er,no
now,3,1,2,N AW,Level 6 (partial),Primer,90,1st 100,,3,78,,,,,team:ow,yes
make,4,1,3,M EY K,,Pre-Primer,64,1st 100,,2,79,,,,,VCe,yes
two,3,1,2,T UW,,Pre-Primer,71,1st 100,,2,80,,,,,,no
find,4,1,4,F AY N D,,Pre-Primer,91,1st 100,,2,81,,,,-nd,,no
come,4,1,3,K AH M,,Pre-Primer,97,1st 100,,2,82,,,,,VCe-exception,no
me,2,1,2,M IY,,Pre-Primer,112,2nd 100,,2,83,,,,,,yes
where,5,1,3,W EH R,,Pre-Primer,128,2nd 100,,2,84,,,wh,,r-controlled:er,no
help,4,1,4,HH EH L P,,Pre-Primer,129,2nd 100,,2,85,,,,-lp,,yes
three,5,1,3,TH R IY,,Pre-Primer,149,2nd 100,,2,86,,,th,thr-,team:ee,yes
big,3,1,3,B IH G,,Pre-Primer,159,2nd 100,,2,87,,,,,,yes
away,4,2,3,AH W EY,,Pre-Primer,186,2nd 100,,2,88,,pyphen_mismatch(away),,,team:ay;team:aw,yes
run,3,1,3,R AH N,,Pre-Primer,250,3rd 100,,2,89,,,,,,yes
red,3,1,3,R EH D,,Pre-Primer,327,4th 100,,2,90,,,,,,yes
blue,4,1,3,B L UW,,Pre-Primer,537,6th 100,,2,91,,,,bl-,team:ue,yes
yellow,6,2,4,Y EH L OW,,Pre-Primer,908,10th 100,,2,92,yel-low,ok,,,team:ow,yes
jump,4,1,4,JH AH M P,,Pre-Primer,,,,1,93,,,,-mp,,yes
funny,5,2,4,F AH N IY,,Pre-Primer,,,,1,94,fun-ny,ok,,,,yes
into,4,2,4,IH N T UW,,Primer,67,1st 100,,2,95,in-to,ok,,,,yes
no,2,1,2,N OW,,Primer,77,1st 100,,2,96,,,,,,yes
who,3,1,2,HH UW,,Primer,87,1st 100,,2,97,,,wh,,,no
new,3,1,2,N UW,,Primer,102,2nd 100,,2,98,,,,,team:ew,yes
our,3,2,2,AW ER,,Primer,119,2nd 100,,2,99,,pyphen_mismatch(our),,,team:ou,yes
good,4,1,3,G UH D,,Primer,122,2nd 100,,2,100,,,,,team:oo,yes
say,3,1,2,S EY,,Primer,126,2nd 100,,2,101,,,,,team:ay,yes
too,3,1,2,T UW,,Primer,135,2nd 100,,2,102,,,,,team:oo,yes
want,4,1,4,W AA N T,,Primer,144,2nd 100,,2,103,,,,-nt,,no
well,4,1,3,W EH L,,Primer,156,2nd 100,,2,104,,,,,,yes
must,4,1,4,M AH S T,,Primer,158,2nd 100,,2,105,,,,-st,,yes
went,4,1,4,W EH N T,,Primer,167,2nd 100,,2,106,,,,-nt,,yes
under,5,2,4,AH N D ER,,Primer,224,3rd 100,,2,107,un-der,ok,,,r-controlled:er,yes
saw,3,1,2,S AO,,Primer,226,3rd 100,,2,108,,,,,team:aw,yes
white,5,1,3,W AY T,,Primer,260,3rd 100,,2,109,,,wh,,VCe,yes
