word,letter_count,syllable_count,phoneme_count,phonemes_arpabet,preschool_prep_level,dolch_level,fry_rank,fry_hundred,other_lists,source_count,suggested_order,syllable_split,syllable_split_status,digraphs,blends,vowel_patterns,decodable_guess
stick,5,1,4,S T IH K,,Nouns,758,8th 100,,2,283,,,ck,st-,,yes
party,5,2,5,P AA R T IY,,Nouns,759,8th 100,,2,284,par-ty,ok,,,r-controlled:ar,yes
garden,6,2,6,G AA R D AH N,,Nouns,773,8th 100,,2,285,gar-den,ok,,,r-controlled:ar,yes
ring,4,1,3,R IH NG,,Nouns,782,8th 100,,2,286,,,ng,,,yes
bell,4,1,3,B EH L,,Nouns,855,9th 100,,2,287,,,,,,yes
sister,6,2,5,S IH S T ER,,Nouns,926,10th 100,,2,288,sis-ter,ok,,,r-controlled:er,yes
apple,5,2,4,AE P AH L,,Nouns,983,10th 100,,2,289,ap-ple,ok,,,,yes
corn,4,1,4,K AO R N,,Nouns,986,10th 100,,2,290,,,,,r-controlled:or,yes
cow,3,1,2,K AW,,Nouns,,,,1,291,,,,,team:ow,yes
egg,3,1,2,EH G,,Nouns,,,,1,292,,,,,,yes
eye,3,1,1,AY,,Nouns,,,,1,293,,,,,team:ey,no
leg,3,1,3,L EH G,,Nouns,,,,1,294,,,,,,yes
pig,3,1,3,P IH G,,Nouns,,,,1,295,,,,,,yes
toy,3,1,2,T OY,,Nouns,,,,1,296,,,,,team:oy,yes
bird,4,1,3,B ER D,,Nouns,,,,1,297,,,,,r-controlled:ir,yes
cake,4,1,3,K EY K,,Nouns,,,,1,298,,,,,VCe,yes
coat,4,1,3,K OW T,,Nouns,,,,1,299,,,,,team:oa,yes
doll,4,1,3,D AA L,,Nouns,,,,1,300,,,,,,yes
duck,4,1,3,D AH K,,Nouns,,,,1,301,,,ck,,,yes
nest,4,1,4,N EH S T,,Nouns,,,,1,302,,,,-st,,yes
seed,4,1,3,S IY D,,Nouns,,,,1,303,,,,,team:ee,yes
shoe,4,1,2,SH UW,,Nouns,,,,1,304,,,sh,,team:oe,no
chair,5,1,3,CH EH R,,Nouns,,,,1,305,,,ch,,team:ai,yes
kitty,5,2,4,K IH T IY,,Nouns,,,,1,306,kit-ty,ok,,,,yes
robin,5,2,5,R AA B AH N,,Nouns,,,,1,307,,pyphen_mismatch(robin),,,,yes
sheep,5,1,3,SH IY P,,Nouns,,,,1,308,,,sh,,team:ee,yes
thing,5,1,3,TH IH NG,,Nouns,,,Fry alt edition (uniqueteachingresources #118),1,309,,,th;ng,,,yes
farmer,6,2,5,F AA R M ER,,Nouns,,,,1,310,,pyphen_mismatch(farmer),,,r-controlled:ar;r-controlled:er,yes
flower,6,2,4,F L AW ER,,Nouns,,,,1,311,flow-er,ok,,fl-,team:ow;r-controlled:er,yes
rabbit,6,2,5,R AE B AH T,,Nouns,,,,1,312,rab-bit,ok,,,,yes
chicken,7,2,5,CH IH K AH N,,Nouns,,,,1,313,chick-en,ok,ch;ck,,,yes
goodbye,7,2,5,G UH D B AY,,Nouns,,,,1,314,good-bye,ok,,,team:oo,no
birthday,8,2,5,B ER TH D EY,,Nouns,,,,1,315,birth-day,ok,th,,team:ay;r-controlled:ir,yes
squirrel,8,2,6,S K W ER AH L,,Nouns,,,,1,316,squir-rel,ok,,squ-,r-controlled:ir,no
Christmas,9,2,7,K R IH S M AH S,,Nouns,,,,1,317,Christ-mas,ok,ch,,,no
Santa Claus,10,3,9,S AE N T AH K L AO Z,,Nouns,,,,1,318,,,,,,
words,5,1,4,W ER D Z,,,30,1st 100,,1,319,,,,,r-controlled:or,no
more,4,1,3,M AO R,,,72,1st 100,,1,320,,,,,r-controlled:or,yes
number,6,2,5,N AH M B ER,,,76,1st 100,,1,321,num-ber,ok,,,r-controlled:er,yes
people,6,2,5,P IY P AH L,,,80,1st 100,,1,322,peo-ple,ok,,,,no
than,4,1,3,DH AE N,,,82,1st 100,,1,323,,,th,,,yes
called,6,1,4,K AO L D,,,86,1st 100,,1,324,,,,,,yes
part,4,1,4,P AA R T,,,100,1st 100,,1,325,,,,,r-controlled:ar,yes
sound,5,1,4,S AW N D,,,103,2nd 100,,1,326,,,,-nd,team:ou,yes
place,5,1,4,P L EY S,,,109,2nd 100,,1,327,,,,pl-,VCe,yes
years,5,1,4,Y IH R Z,,,110,2nd 100,,1,328,,,,,team:ea,yes
most,4,1,4,M OW S T,,,115,2nd 100,,1,329,,,,-st,,no
things,6,1,4,TH IH NG Z,,,118,2nd 100,,1,330,,,th;ng,,,yes
sentence,8,2,7,S EH N T AH N S,,,123,2nd 100,,1,331,sen-tence,ok,,,,yes
great,5,1,4,G R EY T,,,127,2nd 100,,1,332,,,,gr-,team:ea,no
through,7,1,3,TH R UW,,,130,2nd 100,,1,333,,,th,thr-,team:ough,no
line,4,1,3,L AY N,,,133,2nd 100,,1,334,,,,,VCe,yes
means,5,1,4,M IY N Z,,,136,2nd 100,,1,335,,,,,team:ea,yes
same,4,1,3,S EY M,,,139,2nd 100,,1,336,,,,,VCe,yes
follow,6,2,4,F AA L OW,,,142,2nd 100,,1,337,fol-low,ok,,,team:ow,yes
also,4,2,4,AO L S OW,,,146,2nd 100,,1,338,al-so,ok,,,,no
form,4,1,4,F AO R M,,,148,2nd 100,,1,339,,,,,r-controlled:or,yes
set,3,1,3,S EH T,,,151,2nd 100,,1,340,,,,,,yes
end,3,1,3,EH N D,,,153,2nd 100,,1,341,,,,-nd,,yes
another,7,3,5,AH N AH DH ER,,,155,2nd 100,,1,342,an-oth-er,ok,th,,r-controlled:er,no
large,5,1,4,L AA R JH,,,157,2nd 100,,1,343,,,,,r-controlled:ar,yes
even,4,2,4,IY V IH N,,,160,2nd 100,,1,344,,pyphen_mismatch(even),,,,yes
such,4,1,3,S AH CH,,,161,2nd 100,,1,345,,,ch,,,yes
turn,4,1,3,T ER N,,,163,2nd 100,,1,346,,,,,r-controlled:ur,yes
need,4,1,3,N IY D,,,170,2nd 100,,1,347,,,,,team:ee,yes
land,4,1,4,L AE N D,,,171,2nd 100,,1,348,,,,-nd,,yes
different,9,3,7,D IH F ER AH N T,,,172,2nd 100,,1,349,dif-fer-ent,ok,,-nt,,yes
move,4,1,3,M UW V,,,175,2nd 100,,1,350,,,,,VCe-exception,no
change,6,1,4,CH EY N JH,,,181,2nd 100,,1,351,,,ch,,,no
spell,5,1,4,S P EH L,,,184,2nd 100,,1,352,,,,sp-,,yes
air,3,1,2,EH R,,,185,2nd 100,,1,353,,,,,team:ai,yes
animal,6,3,6,AE N AH M AH L,,,187,2nd 100,,1,354,an-i-mal,ok,,,,yes
point,5,1,4,P OY N T,,,189,2nd 100,,1,355,,,,-nt,team:oi,yes
page,4,1,3,P EY JH,,,190,2nd 100,,1,356,,,,,VCe,yes
answer,6,2,4,AE N S ER,,,193,2nd 100,,1,357,an-swer,ok,,,r-controlled:er,no
study,5,2,5,S T AH D IY,,,195,2nd 100,,1,358,,pyphen_mismatch(study),,st-,,yes
still,5,1,4,S T IH L,,,196,2nd 100,,1,359,,,,st-,,yes
learn,5,1,3,L ER N,,,197,2nd 100,,1,360,,,,,team:ea,yes
should,6,1,3,SH UH D,,,198,2nd 100,,1,361,,,sh,,team:ou,no
America,7,4,7,AH M EH R AH K AH,,,199,2nd 100,,1,362,,pyphen_mismatch(amer-i-ca),,,,yes
world,5,1,4,W ER L D,,,200,2nd 100,,1,363,,,,-ld,r-controlled:or,no
high,4,1,2,HH AY,,,201,3rd 100,,1,364,,,,,team:igh,yes
near,4,1,3,N IH R,,,203,3rd 100,,1,365,,,,,team:ea,yes
add,3,1,2,AE D,,,204,3rd 100,,1,366,,,,,,yes
food,4,1,3,F UW D,,,205,3rd 100,,1,367,,,,,team:oo,yes
between,7,2,6,B IH T W IY N,,,206,3rd 100,,1,368,be-tween,ok,,,team:ee,yes
below,5,2,4,B IH L OW,,,208,3rd 100,,1,369,be-low,ok,,,team:ow,yes
country,7,2,6,K AH N T R IY,,,209,3rd 100,,1,370,coun-try,ok,,,team:ou,no
plant,5,1,5,P L AE N T,,,210,3rd 100,,1,371,,,,pl-;-nt,,yes
last,4,1,4,L AE S T,,,211,3rd 100,,1,372,,,,-st,,yes
city,4,2,4,S IH T IY,,,218,3rd 100,,1,373,,pyphen_mismatch(city),,,,yes
earth,5,1,2,ER TH,,,219,3rd 100,,1,374,,,th,,team:ea,yes
eyes,4,1,2,AY Z,,,220,3rd 100,,1,375,,,,,team:ey,no
thought,7,1,3,TH AO T,,,222,3rd 100,,1,376,,,th,,team:ough,no
story,5,2,5,S T AO R IY,,,225,3rd 100,,1,377,sto-ry,ok,,st-,,yes
left,4,1,4,L EH F T,,,227,3rd 100,,1,378,,,,-ft,,yes
few,3,1,3,F Y UW,,,229,3rd 100,,1,379,,,,,team:ew,yes
while,5,1,3,W AY L,,,230,3rd 100,,1,380,,,wh,,VCe,yes
along,5,2,4,AH L AO NG,,,231,3rd 100,,1,381,a-long,ok,ng,,,yes
might,5,1,3,M AY T,,,232,3rd 100,,1,382,,,,,team:igh,yes
close,5,1,4,K L OW S,,,233,3rd 100,,1,383,,,,cl-,VCe,yes
something,9,2,6,S AH M TH IH NG,,,234,3rd 100,,1,384,some-thing,ok,th;ng,,,no
seem,4,1,3,S IY M,,,235,3rd 100,,1,385,,,,,team:ee,yes
next,4,1,5,N EH K S T,,,236,3rd 100,,1,386,,,,-xt,,yes
hard,4,1,4,HH AA R D,,,237,3rd 100,,1,387,,,,,r-controlled:ar,yes
example,7,3,8,IH G Z AE M P AH L,,,239,3rd 100,,1,388,ex-am-ple,ok,,,,yes
begin,5,2,5,B IH G IH N,,,240,3rd 100,,1,389,be-gin,ok,,,,yes
life,4,1,3,L AY F,,,241,3rd 100,,1,390,,,,,VCe,yes
group,5,1,4,G R UW P,,,248,3rd 100,,1,391,,,,gr-,team:ou,no
often,5,2,4,AO F AH N,,,249,3rd 100,,1,392,of-ten,ok,,,,yes
important,9,3,9,IH M P AO R T AH N T,,,251,3rd 100,,1,393,im-por-tant,ok,,-nt,r-controlled:or,yes
until,5,2,5,AH N T IH L,,,252,3rd 100,,1,394,un-til,ok,,,,yes
side,4,1,3,S AY D,,,254,3rd 100,,1,395,,,,,VCe,yes
mile,4,1,3,M AY L,,,257,3rd 100,,1,396,,,,,VCe,yes
sea,3,1,2,S IY,,,261,3rd 100,,1,397,,,,,team:ea,yes
began,5,2,5,B IH G AE N,,,262,3rd 100,,1,398,be-gan,ok,,,,yes
took,4,1,3,T UH K,,,264,3rd 100,,1,399,,,,,team:oo,yes
river,5,2,4,R IH V ER,,,265,3rd 100,,1,400,riv-er,ok,,,r-controlled:er,yes
state,5,1,4,S T EY T,,,268,3rd 100,,1,401,,,,st-,VCe,yes
book,4,1,3,B UH K,,,270,3rd 100,,1,402,,,,,team:oo,yes
hear,4,1,3,HH IY R,,,271,3rd 100,,1,403,,,,,team:ea,yes
without,7,2,5,W IH TH AW T,,,273,3rd 100,,1,404,with-out,ok,th,,team:ou,yes
second,6,2,6,S EH K AH N D,,,274,3rd 100,,1,405,sec-ond,ok,,-nd,,yes
late,4,1,3,L EY T,,,275,3rd 100,,1,406,,,,,VCe,yes
miss,4,1,3,M IH S,,,276,3rd 100,,1,407,,,,,,yes
idea,4,3,4,AY D IY AH,,,277,3rd 100,,1,408,,pyphen_mismatch(idea),,,team:ea,yes
enough,6,2,4,IH N AH F,,,278,3rd 100,,1,409,e-nough,ok,,,team:ough,no
face,4,1,3,F EY S,,,280,3rd 100,,1,410,,,,,VCe,yes
Indian,6,3,6,IH N D IY AH N,,,283,3rd 100,,1,411,In-di-an,ok,,,,no
real,4,1,3,R IY L,,,284,3rd 100,,1,412,,,,,team:ea,yes
almost,6,2,6,AO L M OW S T,,,285,3rd 100,,1,413,al-most,ok,,-st,,no
above,5,2,4,AH B AH V,,,287,3rd 100,,1,414,,pyphen_mismatch(above),,,VCe-exception,no
sometimes,9,2,7,S AH M T AY M Z,,,289,3rd 100,,1,415,some-times,ok,,,VCe,no
mountains,9,2,7,M AW N T AH N Z,,,290,3rd 100,,1,416,moun-tains,ok,,,team:ai;team:ou,no
young,5,1,3,Y AH NG,,,292,3rd 100,,1,417,,,ng,,team:ou,no
talk,4,1,3,T AO K,,,293,3rd 100,,1,418,,,,,,no
list,4,1,4,L IH S T,,,295,3rd 100,,1,419,,,,-st,,yes
being,5,2,4,B IY IH NG,,,297,3rd 100,,1,420,be-ing,ok,ng,,team:ei,yes
leave,5,1,3,L IY V,,,298,3rd 100,,1,421,,,,,team:ea,no
family,6,3,6,F AE M AH L IY,,,299,3rd 100,,1,422,fam-i-ly,ok,,,,yes
it's,3,1,3,IH T S,,,300,3rd 100,,1,423,,,,,,
body,4,2,4,B AA D IY,,,301,4th 100,,1,424,,pyphen_mismatch(body),,,,yes
music,5,2,6,M Y UW Z IH K,,,302,4th 100,,1,425,mu-sic,ok,,,,yes
color,5,2,4,K AH L ER,,,303,4th 100,,1,426,col-or,ok,,,r-controlled:or,no
stand,5,1,5,S T AE N D,,,304,4th 100,,1,427,,,,st-;-nd,,yes
questions,9,2,8,K W EH S CH AH N Z,,,306,4th 100,,1,428,ques-tions,ok,,,,no
area,4,3,4,EH R IY AH,,,308,4th 100,,1,429,,pyphen_mismatch(area),,,team:ea,no
mark,4,1,4,M AA R K,,,309,4th 100,,1,430,,,,,r-controlled:ar,yes
birds,5,1,4,B ER D Z,,,312,4th 100,,1,431,,,,,r-controlled:ir,yes
problem,7,2,7,P R AA B L AH M,,,313,4th 100,,1,432,prob-lem,ok,,pr-,,yes
complete,8,2,7,K AH M P L IY T,,,314,4th 100,,1,433,com-plete,ok,,,VCe,yes
room,4,1,3,R UW M,,,315,4th 100,,1,434,,,,,team:oo,yes
knew,4,1,2,N UW,,,316,4th 100,,1,435,,,kn,,team:ew,yes
since,5,1,4,S IH N S,,,317,4th 100,,1,436,,,,,,yes
ever,4,2,3,EH V ER,,,318,4th 100,,1,437,ev-er,ok,,,r-controlled:er,yes
piece,5,1,3,P IY S,,,319,4th 100,,1,438,,,,,team:ie,yes
told,4,1,4,T OW L D,,,320,4th 100,,1,439,,,,-ld,,no
usually,7,4,8,Y UW ZH AH W AH L IY,,,321,4th 100,,1,440,,pyphen_mismatch(usu-al-ly),,,,no
didn't,5,2,6,D IH D AH N T,,,322,4th 100,,1,441,,pyphen_mismatch(did-n't),,,,
friends,7,1,6,F R EH N D Z,,,323,4th 100,,1,442,,,,fr-,team:ie,no
easy,4,2,3,IY Z IY,,,324,4th 100,,1,443,,pyphen_mismatch(easy),,,team:ea,yes
heard,5,1,3,HH ER D,,,325,4th 100,,1,444,,,,,team:ea,yes
order,5,2,4,AO R D ER,,,326,4th 100,,1,445,or-der,ok,,,r-controlled:or;r-controlled:er,yes
sure,4,1,3,SH UH R,,,329,4th 100,,1,446,,,,,r-controlled:ur,no
become,6,2,5,B IH K AH M,,,330,4th 100,,1,447,be-come,ok,,,VCe-exception,no
ship,4,1,3,SH IH P,,,332,4th 100,,1,448,,,sh,,,yes
across,6,2,5,AH K R AO S,,,333,4th 100,,1,449,,pyphen_mismatch(across),,,,yes
during,6,2,5,D UH R IH NG,,,335,4th 100,,1,450,dur-ing,ok,ng,,,yes
short,5,1,4,SH AO R T,,,336,4th 100,,1,451,,,sh,,r-controlled:or,yes
however,7,3,5,HH AW EH V ER,,,339,4th 100,,1,452,how-ev-er,ok,,,team:ow;r-controlled:er,yes
low,3,1,2,L OW,,,340,4th 100,,1,453,,,,,team:ow,yes
hours,5,2,3,AW ER Z,,,341,4th 100,,1,454,,pyphen_mismatch(hours),,,team:ou,no
products,8,2,8,P R AA D AH K T S,,,343,4th 100,,1,455,prod-ucts,ok,,pr-,,yes
happened,8,2,6,HH AE P AH N D,,,344,4th 100,,1,456,hap-pened,ok,,,VCe-exception,yes
whole,5,1,3,HH OW L,,,345,4th 100,,1,457,,,wh,,VCe,no
measure,7,2,4,M EH ZH ER,,,346,4th 100,,1,458,mea-sure,ok,,,team:ea;r-controlled:ur,no
remember,8,3,7,R IH M EH M B ER,,,347,4th 100,,1,459,re-mem-ber,ok,,,r-controlled:er,yes
early,5,2,3,ER L IY,,,348,4th 100,,1,460,ear-ly,ok,,,team:ea,yes
waves,5,1,4,W EY V Z,,,349,4th 100,,1,461,,,,,VCe,yes
reached,7,1,4,R IY CH T,,,350,4th 100,,1,462,,,ch,,team:ea,yes
listen,6,2,5,L IH S AH N,,,351,4th 100,,1,463,lis-ten,ok,,,,no
rock,4,1,3,R AA K,,,353,4th 100,,1,464,,,ck,,,yes
space,5,1,4,S P EY S,,,354,4th 100,,1,465,,,,sp-,VCe,yes
covered,7,2,5,K AH V ER D,,,355,4th 100,,1,466,cov-ered,ok,,,,no
several,7,2,6,S EH V R AH L,,,357,4th 100,,1,467,,pyphen_mismatch(sev-er-al),,,,yes
himself,7,2,7,HH IH M S EH L F,,,359,4th 100,,1,468,him-self,ok,,-lf,,yes
toward,6,2,6,T AH W AO R D,,,360,4th 100,,1,469,to-ward,ok,,,team:ow;r-controlled:ar,no
step,4,1,4,S T EH P,,,362,4th 100,,1,470,,,,st-,,yes
passed,6,1,4,P AE S T,,,364,4th 100,,1,471,,,,,,yes
vowel,5,2,4,V AW AH L,,,365,4th 100,,1,472,vow-el,ok,,,team:ow,yes
true,4,1,3,T R UW,,,366,4th 100,,1,473,,,,tr-,team:ue,yes
hundred,7,2,7,HH AH N D R AH D,,,367,4th 100,,1,474,hun-dred,ok,,,,yes
against,7,2,6,AH G EH N S T,,,368,4th 100,,1,475,a-gainst,ok,,-st,team:ai,yes
pattern,7,2,5,P AE T ER N,,,369,4th 100,,1,476,pat-tern,ok,,,r-controlled:er,yes
numeral,7,3,6,N UW M ER AH L,,,370,4th 100,,1,477,nu-mer-al,ok,,,,yes
north,5,1,4,N AO R TH,,,372,4th 100,,1,478,,,th,,r-controlled:or,yes
slowly,6,2,5,S L OW L IY,,,373,4th 100,,1,479,slow-ly,ok,,sl-,team:ow,yes
map,3,1,3,M AE P,,,375,4th 100,,1,480,,,,,,yes
pulled,6,1,4,P UH L D,,,377,4th 100,,1,481,,,,,,no
voice,5,1,3,V OY S,,,379,4th 100,,1,482,,,,,team:oi,yes
seen,4,1,3,S IY N,,,380,4th 100,,1,483,,,,,team:ee,yes
cried,5,1,4,K R AY D,,,382,4th 100,,1,484,,,,cr-,team:ie,yes
plan,4,1,4,P L AE N,,,383,4th 100,,1,485,,,,pl-,,yes
notice,6,2,5,N OW T AH S,,,384,4th 100,,1,486,no-tice,ok,,,VCe-exception,yes
south,5,1,3,S AW TH,,,385,4th 100,,1,487,,,th,,team:ou,yes
war,3,1,3,W AO R,,,387,4th 100,,1,488,,,,,r-controlled:ar,no
king,4,1,3,K IH NG,,,390,4th 100,,1,489,,,ng,,,yes
town,4,1,3,T AW N,,,391,4th 100,,1,490,,,,,team:ow,yes
I'll,3,1,2,AY L,,,392,4th 100,,1,491,,,,,,
unit,4,2,5,Y UW N AH T,,,393,4th 100,,1,492,u-nit,ok,,,,yes
figure,6,2,5,F IH G Y ER,,,394,4th 100,,1,493,fig-ure,ok,,,r-controlled:ur,no
certain,7,2,5,S ER T AH N,,,395,4th 100,,1,494,cer-tain,ok,,,team:ai;r-controlled:er,no
field,5,1,4,F IY L D,,,396,4th 100,,1,495,,,,-ld,team:ie,yes
travel,6,2,6,T R AE V AH L,,,397,4th 100,,1,496,trav-el,ok,,tr-,,yes
English,7,2,6,IH NG G L IH SH,,,402,5th 100,,1,497,Eng-lish,ok,sh;ng,,,no
road,4,1,3,R OW D,,,403,5th 100,,1,498,,,,,team:oa,yes
half,4,1,3,HH AE F,,,404,5th 100,,1,499,,,,,,no
finally,7,3,6,F AY N AH L IY,,,409,5th 100,,1,500,fi-nal-ly,ok,,,,yes
wait,4,1,3,W EY T,,,410,5th 100,,1,501,,,,,team:ai,yes
correct,7,2,5,K ER EH K T,,,411,5th 100,,1,502,cor-rect,ok,,-ct,r-controlled:or,no
oh,2,1,1,OW,,,412,5th 100,,1,503,,,,,,no
quickly,7,2,6,K W IH K L IY,,,413,5th 100,,1,504,quick-ly,ok,ck,,,yes
person,6,2,5,P ER S AH N,,,414,5th 100,,1,505,per-son,ok,,,r-controlled:er,yes
became,6,2,5,B IH K EY M,,,415,5th 100,,1,506,be-came,ok,,,VCe,yes
shown,5,1,3,SH OW N,,,416,5th 100,,1,507,,,sh,,team:ow,yes
minutes,7,2,6,M IH N AH T S,,,417,5th 100,,1,508,min-utes,ok,,,VCe-exception,no
strong,6,1,5,S T R AO NG,,,418,5th 100,,1,509,,,ng,str-,,yes
verb,4,1,3,V ER B,,,419,5th 100,,1,510,,,,,r-controlled:er,yes
stars,5,1,5,S T AA R Z,,,420,5th 100,,1,511,,,,st-,r-controlled:ar,yes
front,5,1,5,F R AH N T,,,421,5th 100,,1,512,,,,fr-;-nt,,no
feel,4,1,3,F IY L,,,422,5th 100,,1,513,,,,,team:ee,yes
fact,4,1,4,F AE K T,,,423,5th 100,,1,514,,,,-ct,,yes
inches,6,2,5,IH N CH AH Z,,,424,5th 100,,1,515,inch-es,ok,ch,,,yes
decided,7,3,7,D IH S AY D IH D,,,426,5th 100,,1,516,de-cid-ed,ok,,,VCe,no
contain,7,2,6,K AH N T EY N,,,427,5th 100,,1,517,con-tain,ok,,,team:ai,yes
course,6,1,4,K AO R S,,,428,5th 100,,1,518,,,,,team:ou,no
surface,7,2,5,S ER F AH S,,,429,5th 100,,1,519,sur-face,ok,,,r-controlled:ur;VCe-exception,yes
produce,7,2,6,P R AH D UW S,,,430,5th 100,,1,520,pro-duce,ok,,pr-,VCe,yes
building,8,2,6,B IH L D IH NG,,,431,5th 100,,1,521,build-ing,ok,ng,,team:ui,no
ocean,5,2,4,OW SH AH N,,,432,5th 100,,1,522,o-cean,ok,,,team:ea,no
class,5,1,4,K L AE S,,,433,5th 100,,1,523,,,,cl-,,yes
note,4,1,3,N OW T,,,434,5th 100,,1,524,,,,,VCe,yes
nothing,7,2,5,N AH TH IH NG,,,435,5th 100,,1,525,noth-ing,ok,th;ng,,,no
rest,4,1,4,R EH S T,,,436,5th 100,,1,526,,,,-st,,yes
carefully,9,3,7,K EH R F AH L IY,,,437,5th 100,,1,527,care-ful-ly,ok,,,,no
scientists,10,3,9,S AY AH N T IH S T S,,,438,5th 100,,1,528,sci-en-tists,ok,,,team:ie,no
inside,6,2,5,IH N S AY D,,,439,5th 100,,1,529,in-side,ok,,,VCe,yes
wheels,6,1,4,W IY L Z,,,440,5th 100,,1,530,,,wh,,team:ee,yes
stay,4,1,3,S T EY,,,441,5th 100,,1,531,,,,st-,team:ay,yes
known,5,1,3,N OW N,,,443,5th 100,,1,532,,,kn,,team:ow,yes
island,6,2,5,AY L AH N D,,,444,5th 100,,1,533,is-land,ok,,-nd,,no
week,4,1,3,W IY K,,,445,5th 100,,1,534,,,,,team:ee,yes
less,4,1,3,L EH S,,,446,5th 100,,1,535,,,,,,yes
machine,7,2,5,M AH SH IY N,,,447,5th 100,,1,536,ma-chine,ok,ch,,VCe-exception,no
base,4,1,3,B EY S,,,448,5th 100,,1,537,,,,,VCe,yes
ago,3,2,3,AH G OW,,,449,5th 100,,1,538,a-go,ok,,,,yes
stood,5,1,4,S T UH D,,,450,5th 100,,1,539,,,,st-,team:oo,yes
plane,5,1,4,P L EY N,,,451,5th 100,,1,540,,,,pl-,VCe,yes
system,6,2,6,S IH S T AH M,,,452,5th 100,,1,541,sys-tem,ok,,,,yes
behind,6,2,6,B IH HH AY N D,,,453,5th 100,,1,542,be-hind,ok,,-nd,,no
force,5,1,4,F AO R S,,,458,5th 100,,1,543,,,,,r-controlled:or,yes
brought,7,1,4,B R AO T,,,459,5th 100,,1,544,,,,br-,team:ough,no
understand,10,3,9,AH N D ER S T AE N D,,,460,5th 100,,1,545,un-der-stand,ok,,-nd,r-controlled:er,yes
common,6,2,5,K AA M AH N,,,462,5th 100,,1,546,com-mon,ok,,,,yes
explain,7,2,7,IH K S P L EY N,,,464,5th 100,,1,547,ex-plain,ok,,,team:ai,yes
dry,3,1,3,D R AY,,,465,5th 100,,1,548,,,,dr-,,yes
though,6,1,2,DH OW,,,466,5th 100,,1,549,,,th,,team:ough,no
language,8,2,7,L AE NG G W AH JH,,,467,5th 100,,1,550,lan-guage,ok,ng,,,no
shape,5,1,3,SH EY P,,,468,5th 100,,1,551,,,sh,,VCe,yes
deep,4,1,3,D IY P,,,469,5th 100,,1,552,,,,,team:ee,yes
thousands,9,2,7,TH AW Z AH N D Z,,,470,5th 100,,1,553,thou-sands,ok,th,,team:ou,yes
clear,5,1,4,K L IH R,,,472,5th 100,,1,554,,,,cl-,team:ea,yes
equation,8,3,7,IH K W EY ZH AH N,,,473,5th 100,,1,555,e-qua-tion,ok,,,,no
yet,3,1,3,Y EH T,,,474,5th 100,,1,556,,,,,,yes
government,10,3,8,G AH V ER M AH N T,,,475,5th 100,,1,557,gov-ern-ment,ok,,-nt,r-controlled:er,no
filled,6,1,4,F IH L D,,,476,5th 100,,1,558,,,,,,yes
heat,4,1,3,HH IY T,,,477,5th 100,,1,559,,,,,team:ea,yes
check,5,1,3,CH EH K,,,480,5th 100,,1,560,,,ch;ck,,,yes
object,6,2,6,AA B JH EH K T,,,481,5th 100,,1,561,ob-ject,ok,,-ct,,yes
rule,4,1,3,R UW L,,,483,5th 100,,1,562,,,,,VCe,yes
among,5,2,4,AH M AH NG,,,484,5th 100,,1,563,a-mong,ok,ng,,,no
noun,4,1,3,N AW N,,,485,5th 100,,1,564,,,,,team:ou,yes
power,5,2,3,P AW ER,,,486,5th 100,,1,565,pow-er,ok,,,team:ow;r-controlled:er,yes
cannot,6,2,5,K AE N AA T,,,487,5th 100,,1,566,can-not,ok,,,,yes
able,4,2,4,EY B AH L,,,488,5th 100,,1,567,,pyphen_mismatch(able),,,,yes
size,4,1,3,S AY Z,,,490,5th 100,,1,568,,,,,VCe,yes
dark,4,1,4,D AA R K,,,491,5th 100,,1,569,,,,,r-controlled:ar,yes
material,8,4,8,M AH T IH R IY AH L,,,493,5th 100,,1,570,ma-te-ri-al,ok,,,,no
special,7,2,6,S P EH SH AH L,,,494,5th 100,,1,571,spe-cial,ok,,sp-,,no
heavy,5,2,4,HH EH V IY,,,495,5th 100,,1,572,,pyphen_mismatch(heavy),,,team:ea,yes
fine,4,1,3,F AY N,,,496,5th 100,,1,573,,,,,VCe,yes
pair,4,1,3,P EH R,,,497,5th 100,,1,574,,,,,team:ai,yes
circle,6,2,5,S ER K AH L,,,498,5th 100,,1,575,cir-cle,ok,,,r-controlled:ir,yes
include,7,2,6,IH N K L UW D,,,499,5th 100,,1,576,in-clude,ok,,,VCe,yes
built,5,1,4,B IH L T,,,500,5th 100,,1,577,,,,-lt,team:ui,no
can't,4,1,4,K AE N T,,,501,6th 100,,1,578,,,,,,
matter,6,2,4,M AE T ER,,,502,6th 100,,1,579,mat-ter,ok,,,r-controlled:er,yes
square,6,1,5,S K W EH R,,,503,6th 100,,1,580,,,,squ-,r-controlled:ar,yes
syllables,9,3,8,S IH L AH B AH L Z,,,504,6th 100,,1,581,syl-la-bles,ok,,,,no
perhaps,7,2,6,P ER HH AE P S,,,505,6th 100,,1,582,per-haps,ok,,,r-controlled:er,yes
bill,4,1,3,B IH L,,,506,6th 100,,1,583,,,,,,yes
felt,4,1,4,F EH L T,,,507,6th 100,,1,584,,,,-lt,,yes
suddenly,8,3,7,S AH D AH N L IY,,,508,6th 100,,1,585,sud-den-ly,ok,,,,yes
test,4,1,4,T EH S T,,,509,6th 100,,1,586,,,,-st,,yes
direction,9,3,7,D ER EH K SH AH N,,,510,6th 100,,1,587,di-rec-tion,ok,,,,yes
